objectid,filename,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,display_template,object_location,image_small,image_thumb
exphoto_01,exhibition_photo_1.jpg,Photo of the Creative Responses Exhibition at PRONI,2023,,KBock,,"This photo shows the Creative Responses exhibition at PRONI, from the entrance.",,,,,,,,KBock,,exphoto_01,exphoto_01,Copyright KBock,https://rightsstatements.org/page/InC-EDU/1.0/?language=eng,Documentation Photograph,image/jpeg,eng,,,,,
exphoto_02,exhibition_photo_2.jpg,Photo of the Creative Responses Exhibition at PRONI,2023,,KBock,,"This photo shows the Creative Responses exhibition at PRONI, from the front right",,,,,,,,KBock,,exphoto_02,exphoto_02,Copyright KBock,https://rightsstatements.org/page/InC-EDU/1.0/?language=eng,Documentation Photograph,image/jpeg,eng,,,,,
exphoto_03,exhibition_photo_3.jpg,Photo of the Creative Responses Exhibition at PRONI,2023,,KBock,,"This photo shows the Creative Responses exhibition at PRONI, from the back left side.",,,,,,,,KBock,,exphoto_03,exphoto_03,Copyright KBock,https://rightsstatements.org/page/InC-EDU/1.0/?language=eng,Documentation Photograph,image/jpeg,eng,,,,,
poster_exno_01,poster_exno_01.jpg,Portraits of Armagh Gaol,2023,,Artist,,"I have been watching the films from Armagh Gaol and tried to capture expressions of the different women. It felt to me like taking their picture all over again in a screenshot. I decided to use either a sepia or colour filter to be reminiscent of the 1970s, the time these women would have been in prison. I decided to contrast this with a shocking pink element. Pink is perceived as a standard female colour, but I made it shocking pink as back then it was (or might have been) shocking that women were involved in different crimes and that they were imprisoned, too.",,,,,,,,"The following archive resources have been re-used: PMA Recordings from Jackie Upton (D4616/2/1/4/1), Angela Nelson (D4616/2/1/89/1), Evelyn Brady and Cate Mackie (D4616/2/1/29/1)",https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 01",poster_exno_01,"Stills from D4616/2/1/4/1, D4616/2/1/89/1 and D4616/2/1/29/1 reproduced with the permission of the Prisons Memory Archive and the Deputy Keeper of the Records Public Record Office of Northern Ireland",https://rightsstatements.org/page/InC/1.0/?language=en,Visual Art Poster,image/jpeg,eng,,,,,
poster_exno_02,poster_exno_02.jpg,Glossary brackets,2023,,Creative Writer,,"My idea was basically to use the glossary of Long Kesh terms to create a 'found poem'. Found poetry is when you take text from a non-poetic source, reframe and edit it, and then present the result as a poem. I chose words that had square brackets around the preceding definite article ‘the’ in the glossary: ‘[the] cage’, ‘[the] compounds’, etc. I felt the square brackets around the definite article were a powerful - if accidental - visual echo of internment, of being cut off and enclosed. Plus taking away the definite article from these terms, used by both interners and internees, emphasises the skewed ‘normality’ of a skewed situation where evocative, and even disturbing, words became everyday parlance.",,,,,,,,The following archive resources have been re-used: PMA Website - Glossary,https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 02",poster_exno_02,"Glossary image reproduced with permission from the Prisons Memory Archive and Cahal McLaughlin",https://rightsstatements.org/page/InC/1.0/?language=en,Poem Poster,image/jpeg,eng,,,,,
poster_exno_03,poster_exno_03.jpg,The h in h-block,2023,,Educator,,"I started looking into the PMA materials and especially the transcripts and essays relating to the h-blocks. From this starting point I wanted to focus on the place itself. So I began with the drawing of one of the blocks, that is here in the background. 
While I was reading, I noticed that a lot of what was written and said about the events in those blocks started with the letter h. I incorporated these words as form of ‘found poetry’ into my poster. I did not use any words that were not mentioned, with one exception, ‘the hope’. I included this to demonstrate people who will and have visited the PMA might have a sense of history being documented and, hopefully, hope for the future. ",,,,,,,,The following archive resources have been re-used: Photograph: INF/7/A/8/8,https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 03",poster_exno_03,"Image INF/7/A/8/8 reproduced with the permission of the Deputy Keeper of the Records Public Record Office of Northern Ireland; PMA logo reproduced with the permission of the Prisons Memory Archive",https://rightsstatements.org/page/InC/1.0/?language=en,Poem Poster,image/jpeg,eng,,,,,
poster_exno_04,poster_exno_04.jpg,Escape from Armagh Gaol,2023,,Creative Storyteller,,"I wanted to be more imaginative with my poster. I decided to write a poem because there were so many questions I had after watching the extract from Evelyn and Cate’s story. In the video clip Evelyn explains the escape attempt from prison. Something I know happened in real life but still feels like something from Hollywood movies to me personally. What really struck me about their story was that they put their make-up on before they even left and had different clothes waiting for them, as part of their escape strategy. So they could pretend like they were going to a party. In my poster I wanted to highlight this contrast between life in the prison and what they were saying about the outside world.",,,,,,,,The following archive resources have been re-used: PMA Recording from Evelyn Brady and Cate Mackie (D4616/2/1/29/1),https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 04",poster_exno_04,"Stills from D4616/2/1/29/1 and the PRONI and PMA logos reproduced with the permission of the Prisons Memory Archive and the Deputy Keeper of the Records Public Record Office of Northern Ireland",https://rightsstatements.org/page/InC/1.0/?language=en,Poem Poster,image/jpeg,eng,,,,,
poster_exno_05,poster_exno_05.jpg,Trapped Individual,2023,,Poet,,"Brian McGuire pulled up that one artwork in his video and it really struck me as symbolic of my perception of prisons in Northern Ireland in the 1960s and 1970s - and prisons in general. Brian called the artwork (that is visible on the poster) ‘this magnificent thing’ and this was my starting point for the poem. The drawing captured the trapped individual, and everybody is trapped from all sides when they are in prison. If you look closely at the right eye of the drawing, it captured a look of sadness and bewilderment - yet alert. And this might be the way the person who drew this felt while in imprisoned.",,,,,,,,"The following archive resources have been re-used: PMA Recording from Brian Maguire (D4616/2/1/101/1);
Photographs: D4616/3/2/771",https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 05",poster_exno_05,"Still from D4616/2/1/101/1 and photograph D4616/3/2/771 reproduced with the permission of the Prisons Memory Archive, Cahal McLaughlin and the Deputy Keeper of the Records Public Record Office of Northern Ireland",https://rightsstatements.org/page/InC/1.0/?language=en,Poem Poster,image/jpeg,eng,,,,,
poster_exno_06,poster_exno_06.jpg,Grey architecture,2023,,Creative Storyteller,,"I am really interested in the architecture of prison spaces and the memory that is imparted there. I found this video of Jenny Meegan who says: “It's hard to believe they lived in such a grey colorless world”. She shares her experience of bringing a flower with her into the prison and all the prisoners being really captivated by it. This made me think of how much of our understandings of prisons comes from the fact that they are spaces that we are not allowed into, especially historic prisons. The PMA and everyone who contributed to it created access to memories and a part of history that would not be available otherwise. ",,,,,,,,"The following archive resources have been re-used: PMA Recording from Oliver Crilly (D4616/2/1/16/1), Jenny Meegan and Pat Jess (D4616/2/1/1/1), Josie Dowds (D4616/2/1/79/1); Photograph: Arial Photo MLK",https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 06",poster_exno_06,"Stills from D4616/2/1/16/1, D4616/2/1/1/1, D4616/2/1/79/1 reproduced with the permission of the Prisons Memory Archive and the Deputy Keeper of the Records Public Record Office of Northern Ireland. Overview map reproduced with permisson of the Prisons Memory Archive and Cahal McLaughlin.",https://rightsstatements.org/page/InC/1.0/?language=en,Visual Art Poster,image/jpeg,eng,,,,,
poster_exno_07,poster_exno_07.jpg,Cage or compound,2023,,Volunteer Archivists and Curators,,"The poster we made is more for information purposes. Often people only recognise the h-blocks as the prison, but there were also the cages or compounds. These nissen huts were made out of corrugated metal and held internees from 1971. In the photo you can see how the building has deteriorated and the fence itself has fallen down over the years. We wanted the people who will view the posters, and especially next generations, to know what the original Long Kesh was like.",,,,,,,,"The following archive resources have been re-used: Photographs: D4616/3/2/370, PMA Website - Glossary
",https://apps.proni.gov.uk/eCatNI_IE/SearchPage.aspx,"Poster, Exhibition Number 07",poster_exno_07,"D4616/3/2/370, and Glossary Image reproduced with the permission of Cahal McLaughlin, the Prisons Memory Archive and the Deputy Keeper of the Records Public Record Office of Northern Ireland",https://rightsstatements.org/page/InC/1.0/?language=en,Information Poster,image/jpeg,eng,,,,,
